Node,Temperature (°C),Congestion (%),Weighted Score
0,29.287406590597122,41.03637317098066,36.33678653882725
1,49.57757315811282,30.494240758388035,38.127573718277944
2,27.0975962039613,77.09714043994012,57.097322745548595
3,34.005758722477985,10.541074250660335,19.926948039387398
4,31.461875217950208,19.447335024402165,24.25315110182138
5,36.680012918382886,10.88312669765325,21.201881185945105
6,30.970624052017296,41.423648207368295,37.2424385452279
7,37.09013697304367,36.32461241193195,36.63082223637664
8,26.691895718202694,68.5970339795863,51.83497867503286
9,26.55664287778816,26.52980182358939,26.5405382452689
10,43.046384673817435,56.61507339342233,51.187597905580375
11,34.738620464047365,40.76107252486495,38.35209170053791
12,42.922068430787675,11.452885983668548,24.0405589625162
13,46.75437874494693,47.49050983462061,47.19605739875114
14,46.43055141727711,19.00468880010291,29.97503384697259
15,40.0221758349029,20.49263938406869,28.304453964402377
16,47.615265211635815,10.502498128747224,25.34760496190266
17,37.87022703679504,48.45164341993217,44.21907686667731
18,37.74801544907002,44.79458758126978,41.97595872838988
19,47.716551355077186,79.7695528976741,66.94835228063533
20,38.25279763623411,24.21432395795108,29.82971342926429
21,33.23097533776862,57.2185340353228,47.62351055630112
22,38.11376034709721,21.962088514891786,28.42275724777396
23,48.81852528713185,35.95097476154971,41.09799497178257
24,31.748750478291832,50.023119455092456,42.713371864372206
25,41.44512608354181,24.21540597749392,31.107294019913077
26,33.42636293036432,63.257081080360855,51.324793820362245
27,38.84233928098237,63.044184316364394,53.363446302211585
28,37.85827238702575,27.82764615846246,31.839896649887777
29,29.979369018324668,76.27870646435369,57.758971485942084
30,40.09823269709459,60.19008881949138,52.15334637053266
31,43.43624376324425,31.381934990420895,36.20365849955024
32,40.03228307639572,36.36578988520971,37.83238716168411
33,42.37938956579314,79.76312533187115,64.80963102543994
34,33.82278368688631,25.00131797243772,28.529904258217158
35,45.974030905741984,60.88175737886593,54.91866678961635
36,31.80802822424022,34.44017261138761,33.387314856528654
37,44.9777507936197,78.71078674166877,65.21757236244915
38,39.76494671456219,67.69158456674882,56.520929425874165
39,34.514022066630474,41.797710540227826,38.88423515078888
40,35.215789710700605,34.562169435064376,34.82361754531887
41,48.11065700488574,13.96196548206018,27.621442091190403
42,49.653180287385524,41.26087449934269,44.617796814559824
43,28.829876023093764,51.43035874000683,42.3901656532416
44,25.57364083805288,26.685294820819102,26.240633227712614
45,39.76841721555623,33.72818562373056,36.14427826046082
46,35.15873822906788,69.47956246446728,55.751232770307524
47,29.31084563529071,20.65014124838435,24.114423003146896
48,31.64784274748535,68.42567772964742,53.71454373678259
49,34.641248811289216,10.921699604009797,20.409519286921565
50,26.048875207111475,,
