Node,Temperature (°C),Congestion (%),Weighted Score
10,26.94361322840578,76.56148867371034,61.67612604011897
9,36.35983666720919,75.93237597137274,64.06061418012366
8,48.29456774008173,14.800373899761091,24.84863205185728
7,45.478394137931595,33.55527115681423,37.13220805114943
6,28.016968979673358,20.380391959078338,22.671365065256843
5,27.286215225798298,,
11,28.19762666735007,28.726259853378068,28.567669897569665
12,34.22711316918674,75.15304571986182,62.8752659546593
13,33.54632912315321,50.65884413303004,45.52508963006699
14,45.64366364231155,19.874547361684634,27.605282245872708
15,39.843428714438474,,
