Node,Temperature (°C),Congestion (%),Weighted Score
4,26.245966428554084,77.32282211095432,56.892079837994224
5,30.50306202677673,51.504087617209045,43.10367738103612
6,25.53694091138137,63.273787989591334,48.17904915830735
7,43.9379297854736,41.011498927814145,42.18207127087793
8,30.76010520832676,74.54006038076416,57.0280783117892
9,31.327262401943674,35.89642954287302,34.06876268650129
10,26.528321986287924,15.876112851527633,20.13699650543175
11,45.841881153274244,39.64833151384681,42.12575136961779
12,29.441960210813466,34.26529062359185,32.3359584584805
13,40.12566637627392,76.84507813064228,62.15731342889494
14,43.69829041406095,62.999026328598774,55.27873196278364
15,36.559724783210015,55.50213345286174,47.92516998500105
16,39.28434556419358,,
